#node	date	numeric date
RVA/Human-wt/KEN/KLF0795/2015/G1P8	2015-07-02	2015.500000
RVA/Human-wt/KEN/KLF0785/2015/G1P8	2015-06-23	2015.475342
NODE_0000377	2014-10-22	2014.806875
RVA/Human-wt/KEN/KLF0812/2015/G1P8	2015-07-24	2015.560274
RVA/Human-wt/KEN/KLF0828/2015/G1P8	2015-11-02	2015.836986
MH291319.1_RVA/Human-wt/KEN/3978/2017/G1P8	--	--
NODE_0000082	2015-06-16	2015.456164
RVA/Human-wt/KEN/KLF0778/2015/G1P8	2015-06-16	2015.456164
NODE_0000083	2015-06-25	2015.480822
RVA/Human-wt/KEN/KLF0788/2015/G1P8	2015-06-25	2015.480822
NODE_0000085	2015-07-15	2015.535616
RVA/Human-wt/KEN/KLF0809/2015/G1P8	2015-07-15	2015.535616
NODE_0000086	2015-08-09	2015.604110
RVA/Human-wt/KEN/KLF0822/2015/G1P8	2015-08-26	2015.650685
RVA/Human-wt/KEN/KLF0818/2015/G1P8	2015-08-09	2015.604110
NODE_0000382	2015-03-04	2015.170068
NODE_0000388	2015-06-06	2015.429920
RVA/Human-wt/KEN/KLF0811/2015/G1P8	2015-07-17	2015.541096
RVA/Human-wt/KEN/KLF0816/2015/G1P8	2015-08-01	2015.582192
NODE_0000389	2015-05-10	2015.355083
RVA/Human-wt/KEN/KLF0824/2015/G1P8	2015-09-01	2015.667123
NODE_0000390	2015-06-25	2015.480822
RVA/Human-wt/KEN/KLF0787/2015/G1P8	2015-06-25	2015.480822
RVA/Human-wt/KEN/KLF0825/2015/G1P8	2015-09-02	2015.669863
NODE_0000383	2015-04-24	2015.311840
RVA/Human-wt/KEN/KLF0808/2015/G1P8	2015-07-15	2015.535616
RVA/Human-wt/KEN/KLF0769/2015/G1P8	2015-06-09	2015.436986
NODE_0000099	2015-05-23	2015.390411
RVA/Human-wt/KEN/KLF0791/2015/G1P8	2015-06-27	2015.486301
RVA/Human-wt/KEN/KLF0760/2015/G1P8	2015-05-23	2015.390411
NODE_0000104	2015-06-02	2015.417808
RVA/Human-wt/KEN/KLF0763/2015/G1P8	2015-06-02	2015.417808
NODE_0000105	2015-06-06	2015.428767
RVA/Human-wt/KEN/KLF0768/2015/G1P8	2015-06-06	2015.428767
NODE_0000106	2015-06-16	2015.456164
RVA/Human-wt/KEN/KLF0775/2015/G1P8	2015-06-16	2015.456164
NODE_0000109	2015-06-20	2015.467123
RVA/Human-wt/KEN/KLF0782/2015/G1P8	2015-06-20	2015.467123
NODE_0000112	2015-07-03	2015.502740
RVA/Human-wt/KEN/KLF0800/2015/G1P8	2015-07-05	2015.508219
RVA/Human-wt/KEN/KLF0798/2015/G1P8	2015-07-03	2015.502740
NODE_0000272	1997-08-18	1997.628774
NODE_0000274	--	--
NODE_0000275	--	--
KU861459.1_RVA/Human-tc/USA/DC5685-20-AG/1991/G1P8	--	--
KT695118.1_RVA/Human-tc/USA/DC5685-40-HT/1991/G1P8	--	--
NODE_0000276	--	--
NODE_0000277	--	--
MG181241.1_RVA/Human-wt/MWI/OP2-002/1999/G1P8	--	--
MG181362.1_RVA/Human-wt/MWI/MW2-841/2002/G1P8	--	--
NODE_0000278	--	--
KJ559218.1_RVA/Human-wt/ARG/Men1741/1998/G4P8	--	--
KJ559304.1_RVA/Human-wt/PRY/954SR/2005/G4P8	--	--
NODE_0000279	--	--
HQ392067.1_RVA/Human-wt/BEL/BE00012/2006/G1P8	--	--
NODE_0000280	--	--
KC443579.1_RVA/Human-wt/AUS/CK20019/2001/G1P8	--	--
KJ751771.1_RVA/Human-wt/ZAF/MRC-DPRU724/2006/G3P8	--	--
JN258855.1_RVA/Human-wt/Bel/BE00079/2002/G1P8	--	--
NODE_0000287	--	--
KJ626618.1_RVA/Human-wt/PRY/365/1999/G1P8	--	--
KT223458.1_RVA/Human-wt/BEL/BE00059/1999/G1P8	--	--
NODE_0000281	--	--
KJ752522.1_RVA/Human-wt/ZAF/MRC-DPRU648/2003/G1P8	--	--
NODE_0000282	--	--
KJ752676.1_RVA/Human-wt/ZAF/MRC-DPRU548/2003/G1P8	--	--
MT855227.1_RVA/Human-wt/ZAF/UFS-NGS-MRC-DPRU609/2003/G1P8	--	--
KJ752904.1_RVA/Human-wt/ZAF/MRC-DPRU1252/2004/G1P8	--	--
NODE_0000236	1997-12-28	1997.989114
NODE_0000237	--	--
JN258841.1_RVA/Human-wt/Bel/BE00076/2001/G1P8	--	--
NODE_0000238	--	--
KJ412713.1_RVA/Human-wt/PRY/1638SR/2008/G1P8	--	--
NODE_0000239	--	--
JF490740.1_RVA/human/Vanderbilt/VU05-06-47/2005/G1P8	--	--
NODE_0000240	--	--
HM773824.1_RVA/Human-wt/USA2007744270/2007/G1P8	--	--
JF490882.1_RVA/human/Vanderbilt/VU06-07-1/2006/G1P8	--	--
NODE_0000242	--	--
NODE_0000243	--	--
JF490926.1_RVA/human/Vanderbilt/VU06-07-27/2006/G1P8	--	--
NODE_0000244	--	--
KT223457.1_RVA/Human-wt/BEL/BE00089/2002/G1P8	--	--
NODE_0000245	--	--
JN258404.1_RVA/Human-wt/USA/2007769947/2007/G1P8	--	--
NODE_0000246	--	--
LC325472.1_RVA/Human-wt/JPN/15R444/2015/G3P8	--	--
KC769385.1_RVA/Human-wt/AUS/CK00066/2007/G1P8	--	--
NODE_0000248	--	--
JF490993.1_RVA/human/Vanderbilt/VU08-09-7/2008/G3P8	--	--
NODE_0000249	--	--
JN706525.1_RVA/CU976-KK/11/2011	--	--
KT919506.1_RVA/Human-wt/USA/VU12-13-101/2013/G9P8	--	--
NODE_0000251	--	--
JX027853.1_RVA/Human-wt/AUS/CK00086/2009/G1P8	--	--
NODE_0000252	--	--
MT633444.1_RVA/BRA/TO-237/2014/GxP8	--	--
KP007145.1_RVA/Human-wt/PHI/TGE12-045/2012/G1P8	--	--
NODE_0000253	--	--
NODE_0000261	--	--
JF491125.1_RVA/human/Vanderbilt/VU08-09-30/2008/G3P8	--	--
KT988142.1_RVA/Human-wt/ITA/PR799/2005/G3P8	--	--
NODE_0000254	--	--
KJ412691.1_RVA/Human-wt/PRY/1755SR/2009/G1P8	--	--
KJ583177.1_RVA/Human-wt/ARG/Arg7338/2009/G3P8/	--	--
NODE_0000256	--	--
KJ583166.1_RVA/Human-wt/ARG/Arg6795/2009/G3P8/	--	--
HM773736.1_RVA/Human-wt/USA2008747322/2008/G3P8	--	--
NODE_0000258	--	--
JN849139.1_RVA/Human-wt/BEL/BE1214/2009/G3P8	--	--
NODE_0000259	--	--
LC172625.1_RVA/RVA/Human/JPN/YM052/2013/G3P8	--	--
MF469334.1_RVA/Human-wt/USA/SSCRTV_00020/2013/GXP8	--	--
NODE_0000262	--	--
JQ087448.1_RVA/Human-tc/E1911/2009/G1P8	--	--
NODE_0000263	--	--
LC172638.1_RVA/RVA/Human/JPN/KN165/2014/G1P8	--	--
JN706528.1_RVA/CU769-KK/10/2010/GxP8	--	--
LC019077.1_RVA/RVA/Human-tc/MMR/P02/2011/G12P8	--	--
JX027887.1_RVA/Human-wt/AUS/CK00089/2009/G1P8	--	--
NODE_0000267	--	--
MT854941.1_RVA/Human-wt/ZAF/UFS-NGS-MRC-DPRU2291/2009/G1P8	--	--
NODE_0000268	--	--
KT920907.1_RVA/Human-wt/USA/CNMC117/2011/G1P8	--	--
MG729829.1_RVA/Hu/13-82/CHN/2013/GxP8	--	--
NODE_0000270	--	--
AB975467.1_RVA/JPN/NT007/2012/G9P8	--	--
LC172584.1_RVA/RVA/Human/JPN/SP010/2013/G9P8	--	--
LC172639.1_RVA/RVA/Human/JPN/YM076/2014/G9P8	--	--
NODE_0000088	2001-03-12	2001.193882
NODE_0000089	--	--
KP752902.1_RVA/Human-wt/ETH/MRC-DPRU1862/2009/G1P8	--	--
NODE_0000090	--	--
KJ752632.1_RVA/Human-wt/ETH/MRC-DPRU5010/2010/G12P8	--	--
HQ392398.1_RVA/Human-wt/BEL/BE00044/2009/G1P8	--	--
NODE_0000036	2009-08-15	2009.621806
KJ751760.1_RVA/Human-wt/UGA/MRC-DPRU1944/2008/G9P8	--	--
NODE_0000038	2010-02-20	2010.137164
NODE_0000039	2012-02-16	2012.126165
RVA/Human-wt/KEN/KLF0655/2013/G1P8	2013-06-11	2013.442466
NODE_0000040	2013-02-13	2013.119098
RVA/Human-wt/KEN/KLF0637/2013/G1P8	2013-05-12	2013.360274
RVA/Human-wt/KEN/KLF0646/2013/G1P8	2013-05-31	2013.412329
NODE_0000041	2010-06-02	2010.416846
KP882726.1_RVA/Human-wt/KEN/Keny-110/2009/G1P8	--	--
NODE_0000042	2010-09-12	2010.697290
KP752756.1_RVA/Human-wt/TGO/MRC-DPRU4562/2011/G1P8	--	--
RVA/Human-wt/KEN/KLF0564/2012/G1P8	2012-06-01	2012.416667
NODE_0000025	2010-04-19	2010.296373
NODE_0000026	2011-08-20	2011.635001
RVA/Human-wt/KEN/KLF0560/2012/G1P8	2012-04-13	2012.282787
RVA/Human-wt/KEN/KLF1037/2012/G1P8	2012-02-01	2012.086066
NODE_0000146	2011-08-31	2011.665065
RVA/Human-wt/KEN/KLF1038/2012/G1P8	2012-06-01	2012.416667
NODE_0000152	2011-09-01	2011.667073
RVA/Human-wt/KEN/KLF0543/2012/G1P8	2012-01-16	2012.042350
NODE_0000163	2012-01-04	2012.009563
RVA/Human-wt/KEN/KLF0540/2012/G1P8	2012-01-04	2012.009563
NODE_0000167	2012-01-08	2012.020492
RVA/Human-wt/KEN/KLF0542/2012/G1P8	2012-01-08	2012.020492
NODE_0000175	2012-01-16	2012.042350
RVA/Human-wt/KEN/KLF0544/2012/G1P8	2012-01-16	2012.042350
NODE_0000180	2012-02-08	2012.106499
RVA/Human-wt/KEN/KLF0547/2012/G1P8	2012-02-10	2012.110656
NODE_0000183	2012-02-11	2012.113388
RVA/Human-wt/KEN/KLF0548/2012/G1P8	2012-02-11	2012.113388
NODE_0000186	2012-03-19	2012.214481
RVA/Human-wt/KEN/KLF0557/2012/G1P8	2012-03-19	2012.214481
NODE_0000187	2012-04-26	2012.318306
RVA/Human-wt/KEN/KLF0562/2012/G1P8	2012-04-26	2012.318306
NODE_0000190	2012-05-15	2012.370219
RVA/Human-wt/KEN/KLF0559/2012/G1P8	2012-06-01	2012.416667
RVA/Human-wt/KEN/KLF0565/2012/G1P8	2012-05-15	2012.370219
NODE_0000023	2010-10-22	2010.808004
RVA/Human-wt/KEN/KLF0555/2012/G1P8	2012-03-05	2012.176230
MH291320.1_RVA/Human-wt/KEN/3471/2016/G9P8	--	--
NODE_0000000	2012-01-01	2012.000305
RVA/Human-wt/KEN/KLF0663/2013/G1P8	2013-06-26	2013.483562
RVA/Human-wt/KEN/KLF0634/2013/G1P8	2013-04-13	2013.280822
NODE_0000020	2013-07-18	2013.543445
NODE_0000022	2013-11-17	2013.878163
RVA/Human-wt/KEN/KLF0726/2014/G1P8	2014-06-22	2014.472603
RVA/Human-wt/KEN/KLF0723/2014/G1P8	2014-06-17	2014.458904
NODE_0000197	2013-12-07	2013.933220
RVA/Human-wt/KEN/KLF0709/2014/G1P8	2014-04-23	2014.308219
RVA/Human-wt/KEN/KLF1047/2014/G1P8	2014-06-20	2014.467123
NODE_0000204	2012-08-09	2012.604248
RVA/Human-wt/KEN/KLF0764/2015/G1P8	2015-06-03	2015.420548
NODE_0000206	2012-08-09	2012.604248
